Price Range,15-19,20-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Total,Suburb
Negative/Nil income,111,11,30,39,13,45,31,11,5,293,Curlewis (Vic.)
$1-$149,52,10,9,5,9,15,9,5,0,119,Curlewis (Vic.)
$150-$299,26,13,23,14,9,19,28,12,0,145,Curlewis (Vic.)
$300-$399,3,22,22,18,16,27,58,42,5,212,Curlewis (Vic.)
$400-$499,9,20,19,11,13,23,63,20,3,183,Curlewis (Vic.)
$500-$649,11,22,43,34,26,36,50,14,0,249,Curlewis (Vic.)
$650-$799,4,24,54,58,29,25,39,14,0,254,Curlewis (Vic.)
$800-$999 ,3,18,85,62,42,42,26,5,0,293,Curlewis (Vic.)
"$1,000-$1,249",0,27,102,82,65,47,23,5,0,350,Curlewis (Vic.)
"$1,250-$1,499",0,23,88,64,51,36,15,3,0,272,Curlewis (Vic.)
"$1,500-$1,749",0,3,72,69,53,32,11,6,0,243,Curlewis (Vic.)
"$1,750-$1,999",0,0,48,52,25,14,5,0,0,152,Curlewis (Vic.)
"$2,000-$2,999",0,0,42,79,45,35,12,0,0,213,Curlewis (Vic.)
"$3,000-$3,499",0,0,6,9,7,9,0,0,0,29,Curlewis (Vic.)
"$3,500 or more",0,0,9,13,16,23,0,0,0,59,Curlewis (Vic.)
Personal income not stated,8,10,26,32,16,12,19,6,4,132,Curlewis (Vic.)
Total,237,200,666,632,446,448,377,147,27,3178,Curlewis (Vic.)
Negative/Nil income,8,0,0,0,10,9,4,0,0,38,Enfield (Vic.)
$1-$149,4,0,0,0,0,4,0,0,0,15,Enfield (Vic.)
$150-$299,0,0,0,3,3,5,5,5,0,21,Enfield (Vic.)
$300-$399,0,6,9,12,0,10,11,4,0,41,Enfield (Vic.)
$400-$499,0,0,8,0,0,6,9,0,0,30,Enfield (Vic.)
$500-$649,0,3,6,3,5,3,7,3,0,28,Enfield (Vic.)
$650-$799,0,4,4,6,9,8,4,0,0,33,Enfield (Vic.)
$800-$999 ,0,4,3,14,6,11,0,0,0,35,Enfield (Vic.)
"$1,000-$1,249",0,0,9,15,21,6,4,0,0,57,Enfield (Vic.)
"$1,250-$1,499",0,0,13,5,6,5,5,0,0,32,Enfield (Vic.)
"$1,500-$1,749",0,0,8,6,6,8,0,0,0,27,Enfield (Vic.)
"$1,750-$1,999",0,0,3,3,7,0,0,0,0,16,Enfield (Vic.)
"$2,000-$2,999",0,0,7,4,12,3,0,0,0,28,Enfield (Vic.)
"$3,000-$3,499",0,0,0,0,5,0,0,0,0,9,Enfield (Vic.)
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Enfield (Vic.)
Personal income not stated,0,0,9,3,4,0,3,0,0,25,Enfield (Vic.)
Total,23,16,76,82,98,75,41,19,3,438,Enfield (Vic.)
Negative/Nil income,36,4,10,8,5,12,14,4,5,94,Panton Hill
$1-$149,15,3,0,3,3,9,7,4,0,38,Panton Hill
$150-$299,5,6,0,3,4,5,14,3,0,36,Panton Hill
$300-$399,0,9,4,3,3,0,5,4,8,42,Panton Hill
$400-$499,0,8,7,0,4,10,8,12,3,61,Panton Hill
$500-$649,0,8,4,4,11,9,13,4,0,53,Panton Hill
$650-$799,0,8,10,7,13,17,5,8,0,62,Panton Hill
$800-$999 ,0,3,9,9,18,15,7,3,0,59,Panton Hill
"$1,000-$1,249",0,3,18,7,27,19,13,0,0,79,Panton Hill
"$1,250-$1,499",0,3,10,6,15,24,3,6,0,60,Panton Hill
"$1,500-$1,749",0,3,9,13,18,15,11,0,0,61,Panton Hill
"$1,750-$1,999",0,0,0,10,16,9,4,0,0,42,Panton Hill
"$2,000-$2,999",0,0,4,24,19,30,8,0,0,88,Panton Hill
"$3,000-$3,499",0,0,0,3,10,11,3,0,0,28,Panton Hill
"$3,500 or more",0,0,3,10,12,10,3,3,0,46,Panton Hill
Personal income not stated,5,3,3,9,10,5,11,0,0,54,Panton Hill
Total,68,70,78,103,177,193,134,50,14,897,Panton Hill
Negative/Nil income,0,0,0,0,0,0,0,0,0,5,Balintore
$1-$149,0,0,0,0,0,0,0,0,0,0,Balintore
$150-$299,0,0,0,0,0,0,0,0,0,4,Balintore
$300-$399,0,0,0,0,0,5,0,0,0,4,Balintore
$400-$499,0,0,0,0,0,0,0,0,0,4,Balintore
$500-$649,0,0,0,0,0,0,0,0,0,7,Balintore
$650-$799,0,0,0,3,0,0,0,0,0,7,Balintore
$800-$999 ,0,0,0,0,0,3,0,0,0,4,Balintore
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,8,Balintore
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Balintore
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Balintore
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Balintore
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Balintore
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Balintore
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Balintore
Personal income not stated,0,0,0,0,0,0,0,0,0,3,Balintore
Total,0,0,9,10,4,4,5,3,3,39,Balintore
Negative/Nil income,101,20,28,29,25,23,22,11,7,259,Yallambie
$1-$149,73,19,9,8,6,16,10,3,0,144,Yallambie
$150-$299,24,18,16,12,11,10,26,15,4,140,Yallambie
$300-$399,6,18,17,12,12,21,49,40,3,183,Yallambie
$400-$499,12,13,14,13,23,15,55,27,12,175,Yallambie
$500-$649,9,15,30,24,30,26,31,31,3,203,Yallambie
$650-$799,17,18,30,15,31,36,25,15,4,194,Yallambie
$800-$999 ,13,52,39,31,53,24,28,16,0,256,Yallambie
"$1,000-$1,249",20,59,78,56,50,33,20,8,0,331,Yallambie
"$1,250-$1,499",8,33,72,70,50,23,20,6,0,274,Yallambie
"$1,500-$1,749",4,17,75,72,60,32,10,3,0,274,Yallambie
"$1,750-$1,999",0,8,48,59,47,26,6,0,0,197,Yallambie
"$2,000-$2,999",0,5,59,120,120,54,10,5,0,365,Yallambie
"$3,000-$3,499",0,0,12,28,28,18,0,0,0,91,Yallambie
"$3,500 or more",0,0,3,27,32,12,3,0,0,76,Yallambie
Personal income not stated,14,33,39,18,14,15,10,11,0,158,Yallambie
Total,299,328,568,602,577,386,327,190,42,3313,Yallambie
Negative/Nil income,85,13,28,15,20,57,32,14,3,264,Eaglehawk
$1-$149,73,5,4,7,11,19,26,3,3,154,Eaglehawk
$150-$299,44,19,25,23,32,36,42,23,6,248,Eaglehawk
$300-$399,7,29,52,30,46,64,136,116,26,505,Eaglehawk
$400-$499,18,32,39,36,45,70,173,97,40,550,Eaglehawk
$500-$649,24,47,60,67,41,79,89,49,21,476,Eaglehawk
$650-$799,8,49,72,44,64,51,51,19,5,365,Eaglehawk
$800-$999 ,8,41,109,59,85,88,49,14,0,453,Eaglehawk
"$1,000-$1,249",4,41,96,76,97,90,29,9,9,452,Eaglehawk
"$1,250-$1,499",0,20,80,67,70,44,11,3,0,286,Eaglehawk
"$1,500-$1,749",0,3,40,46,37,38,15,7,4,196,Eaglehawk
"$1,750-$1,999",0,5,41,25,31,26,12,0,0,136,Eaglehawk
"$2,000-$2,999",0,0,25,39,38,39,5,0,0,148,Eaglehawk
"$3,000-$3,499",0,0,3,0,8,5,0,0,0,20,Eaglehawk
"$3,500 or more",0,0,0,7,6,5,3,0,3,25,Eaglehawk
Personal income not stated,16,19,49,32,48,37,60,32,19,320,Eaglehawk
Total,278,335,729,574,672,751,731,401,139,4598,Eaglehawk
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Darlimurla
$1-$149,0,0,0,0,0,0,0,0,0,0,Darlimurla
$150-$299,0,0,0,0,0,0,0,0,0,4,Darlimurla
$300-$399,0,0,0,0,0,0,0,0,0,4,Darlimurla
$400-$499,0,0,0,0,0,0,0,0,0,0,Darlimurla
$500-$649,0,0,0,0,0,0,0,0,0,3,Darlimurla
$650-$799,0,0,0,0,0,0,0,0,0,3,Darlimurla
$800-$999 ,0,0,0,0,0,0,0,0,0,6,Darlimurla
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Darlimurla
"$1,250-$1,499",0,0,0,0,3,0,0,0,0,3,Darlimurla
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Darlimurla
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Darlimurla
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,3,Darlimurla
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Darlimurla
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Darlimurla
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Darlimurla
Total,0,4,3,3,13,7,3,3,0,37,Darlimurla
Negative/Nil income,43,15,13,12,13,27,21,8,0,155,Keilor Lodge
$1-$149,21,11,0,0,3,0,7,0,0,45,Keilor Lodge
$150-$299,11,5,0,3,3,9,12,11,3,60,Keilor Lodge
$300-$399,9,17,7,8,13,13,32,24,9,123,Keilor Lodge
$400-$499,10,13,7,10,9,17,20,20,6,110,Keilor Lodge
$500-$649,7,14,13,4,12,21,20,9,4,102,Keilor Lodge
$650-$799,4,8,10,17,18,33,14,5,0,110,Keilor Lodge
$800-$999 ,0,13,15,15,16,21,11,0,0,93,Keilor Lodge
"$1,000-$1,249",0,19,28,9,26,31,3,4,0,116,Keilor Lodge
"$1,250-$1,499",0,10,35,23,20,16,15,3,0,118,Keilor Lodge
"$1,500-$1,749",0,4,20,17,30,24,5,0,0,103,Keilor Lodge
"$1,750-$1,999",0,0,14,15,15,22,4,0,0,70,Keilor Lodge
"$2,000-$2,999",0,0,17,25,26,33,3,0,0,99,Keilor Lodge
"$3,000-$3,499",0,0,3,7,8,7,0,0,0,29,Keilor Lodge
"$3,500 or more",0,0,0,7,17,9,0,3,0,33,Keilor Lodge
Personal income not stated,0,9,17,7,7,6,0,3,0,59,Keilor Lodge
Total,99,135,206,170,242,290,186,92,16,1434,Keilor Lodge
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Lilliput
$1-$149,0,0,0,0,0,0,0,0,0,0,Lilliput
$150-$299,0,0,5,0,0,0,0,0,0,5,Lilliput
$300-$399,0,0,0,0,0,0,0,0,0,4,Lilliput
$400-$499,0,0,0,0,0,0,0,0,0,0,Lilliput
$500-$649,0,0,0,3,0,3,3,0,0,8,Lilliput
$650-$799,0,0,0,0,0,0,0,0,0,0,Lilliput
$800-$999 ,0,0,0,0,4,0,3,0,0,11,Lilliput
"$1,000-$1,249",0,0,0,3,0,4,0,0,0,7,Lilliput
"$1,250-$1,499",0,0,0,0,0,3,0,0,0,4,Lilliput
"$1,500-$1,749",0,0,0,0,6,0,0,0,0,3,Lilliput
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Lilliput
"$2,000-$2,999",0,0,0,4,0,0,0,0,0,0,Lilliput
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Lilliput
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Lilliput
Personal income not stated,0,0,0,4,0,0,0,0,0,0,Lilliput
Total,3,0,6,6,13,8,9,0,0,61,Lilliput
Negative/Nil income,190,25,60,32,52,102,66,21,10,551,Kangaroo Flat (Vic.)
$1-$149,120,18,25,21,15,25,40,21,4,291,Kangaroo Flat (Vic.)
$150-$299,88,36,52,35,33,52,78,64,12,451,Kangaroo Flat (Vic.)
$300-$399,20,40,55,42,83,131,284,298,75,1029,Kangaroo Flat (Vic.)
$400-$499,22,38,89,75,85,126,271,259,121,1085,Kangaroo Flat (Vic.)
$500-$649,33,68,106,111,95,127,221,150,82,983,Kangaroo Flat (Vic.)
$650-$799,14,86,157,112,107,111,132,77,28,838,Kangaroo Flat (Vic.)
$800-$999 ,14,89,251,190,145,127,84,54,12,973,Kangaroo Flat (Vic.)
"$1,000-$1,249",6,61,210,169,169,167,60,20,10,873,Kangaroo Flat (Vic.)
"$1,250-$1,499",0,32,137,113,91,81,46,5,3,513,Kangaroo Flat (Vic.)
"$1,500-$1,749",0,10,96,82,81,62,23,7,15,373,Kangaroo Flat (Vic.)
"$1,750-$1,999",0,4,49,76,61,56,18,3,4,262,Kangaroo Flat (Vic.)
"$2,000-$2,999",0,4,67,81,69,56,16,0,4,305,Kangaroo Flat (Vic.)
"$3,000-$3,499",0,0,8,12,13,5,6,3,0,50,Kangaroo Flat (Vic.)
"$3,500 or more",0,0,4,17,4,13,9,3,3,58,Kangaroo Flat (Vic.)
Personal income not stated,38,52,126,88,78,90,111,140,138,873,Kangaroo Flat (Vic.)
Total,552,568,1492,1269,1176,1340,1469,1133,517,9498,Kangaroo Flat (Vic.)
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Killara (Glenelg - Vic.)
$1-$149,0,0,0,0,0,0,0,0,0,0,Killara (Glenelg - Vic.)
$150-$299,0,0,0,0,0,0,0,0,0,0,Killara (Glenelg - Vic.)
$300-$399,0,0,0,0,0,0,0,0,0,0,Killara (Glenelg - Vic.)
$400-$499,0,0,0,0,0,0,0,0,0,0,Killara (Glenelg - Vic.)
$500-$649,0,0,0,0,0,0,0,0,0,0,Killara (Glenelg - Vic.)
$650-$799,0,0,0,0,0,0,0,0,0,0,Killara (Glenelg - Vic.)
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Killara (Glenelg - Vic.)
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Killara (Glenelg - Vic.)
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Killara (Glenelg - Vic.)
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Killara (Glenelg - Vic.)
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Killara (Glenelg - Vic.)
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Killara (Glenelg - Vic.)
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Killara (Glenelg - Vic.)
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Killara (Glenelg - Vic.)
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Killara (Glenelg - Vic.)
Total,0,0,7,0,0,0,0,0,0,3,Killara (Glenelg - Vic.)
Negative/Nil income,0,0,0,0,0,0,0,0,0,4,Lucyvale
$1-$149,0,0,0,0,0,0,0,0,0,0,Lucyvale
$150-$299,0,0,0,0,0,0,0,0,0,0,Lucyvale
$300-$399,0,0,0,0,0,0,4,0,0,5,Lucyvale
$400-$499,0,0,0,0,0,0,0,0,0,0,Lucyvale
$500-$649,0,0,0,0,0,0,0,0,0,3,Lucyvale
$650-$799,0,0,0,0,0,0,0,0,0,0,Lucyvale
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Lucyvale
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Lucyvale
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Lucyvale
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Lucyvale
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Lucyvale
"$2,000-$2,999",0,0,0,0,3,0,0,0,0,3,Lucyvale
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Lucyvale
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Lucyvale
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Lucyvale
Total,0,0,0,0,5,0,10,0,0,21,Lucyvale
Negative/Nil income,4,0,4,0,0,4,0,0,0,16,Lemnos
$1-$149,4,3,0,0,3,0,0,0,0,10,Lemnos
$150-$299,0,0,0,0,0,3,3,0,0,9,Lemnos
$300-$399,0,0,3,0,4,3,6,0,0,19,Lemnos
$400-$499,3,0,0,0,0,8,4,4,4,21,Lemnos
$500-$649,0,0,0,5,0,4,4,0,0,9,Lemnos
$650-$799,0,3,0,0,3,0,7,0,0,19,Lemnos
$800-$999 ,0,0,11,0,0,5,3,0,0,21,Lemnos
"$1,000-$1,249",0,0,4,9,4,6,4,0,0,22,Lemnos
"$1,250-$1,499",0,0,0,4,3,0,0,0,0,12,Lemnos
"$1,500-$1,749",0,0,0,0,0,6,7,0,0,7,Lemnos
"$1,750-$1,999",0,0,0,5,0,0,0,0,0,5,Lemnos
"$2,000-$2,999",0,0,0,0,5,4,0,0,0,12,Lemnos
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Lemnos
"$3,500 or more",0,0,0,6,3,0,0,0,0,6,Lemnos
Personal income not stated,4,0,6,3,0,11,0,0,0,23,Lemnos
Total,17,11,27,34,31,52,31,11,7,210,Lemnos
Negative/Nil income,5,0,0,0,0,6,0,0,0,13,Lauriston
$1-$149,4,0,0,0,0,0,0,0,0,9,Lauriston
$150-$299,0,0,6,0,0,0,0,0,0,9,Lauriston
$300-$399,0,0,0,0,0,0,0,3,0,6,Lauriston
$400-$499,0,0,4,0,0,0,6,6,0,23,Lauriston
$500-$649,0,0,0,4,4,5,7,0,0,20,Lauriston
$650-$799,0,0,3,0,0,0,3,0,0,11,Lauriston
$800-$999 ,0,0,0,0,0,6,0,0,0,15,Lauriston
"$1,000-$1,249",0,0,0,4,0,8,3,0,0,12,Lauriston
"$1,250-$1,499",0,0,0,4,5,3,0,0,0,9,Lauriston
"$1,500-$1,749",0,0,4,0,3,5,3,0,0,8,Lauriston
"$1,750-$1,999",0,0,0,3,4,5,0,0,0,11,Lauriston
"$2,000-$2,999",0,0,0,3,9,4,3,0,0,22,Lauriston
"$3,000-$3,499",0,0,0,9,4,6,0,0,0,12,Lauriston
"$3,500 or more",0,0,0,3,0,4,0,0,0,10,Lauriston
Personal income not stated,0,0,0,9,3,0,0,0,0,17,Lauriston
Total,13,3,21,36,35,51,34,11,0,208,Lauriston
Negative/Nil income,11,0,0,0,5,3,3,0,0,30,Bushfield
$1-$149,14,0,0,0,0,0,0,0,0,22,Bushfield
$150-$299,10,0,0,0,3,6,9,0,0,26,Bushfield
$300-$399,8,0,0,0,0,9,0,0,0,20,Bushfield
$400-$499,7,0,0,0,0,3,11,5,0,33,Bushfield
$500-$649,3,6,0,13,5,4,4,5,0,42,Bushfield
$650-$799,3,4,7,7,9,10,11,0,0,44,Bushfield
$800-$999 ,0,3,3,14,13,10,8,0,0,51,Bushfield
"$1,000-$1,249",0,3,11,3,9,11,0,3,0,52,Bushfield
"$1,250-$1,499",0,0,6,10,12,9,5,0,0,40,Bushfield
"$1,500-$1,749",0,0,8,0,11,3,5,0,0,34,Bushfield
"$1,750-$1,999",0,0,7,4,10,0,5,0,0,21,Bushfield
"$2,000-$2,999",0,0,4,14,21,0,0,0,0,34,Bushfield
"$3,000-$3,499",0,0,0,4,0,0,4,0,0,8,Bushfield
"$3,500 or more",0,0,0,0,0,7,0,0,0,9,Bushfield
Personal income not stated,0,0,0,5,5,5,4,0,0,18,Bushfield
Total,57,20,45,67,111,81,66,18,3,481,Bushfield
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Jeeralang
$1-$149,4,0,5,0,0,0,5,0,0,4,Jeeralang
$150-$299,0,0,0,0,0,0,0,0,0,0,Jeeralang
$300-$399,0,0,0,0,0,4,0,0,0,4,Jeeralang
$400-$499,0,0,0,0,0,0,0,0,0,3,Jeeralang
$500-$649,0,0,0,0,0,0,3,3,0,10,Jeeralang
$650-$799,0,0,4,0,0,0,0,0,0,8,Jeeralang
$800-$999 ,0,0,0,0,0,0,0,0,0,3,Jeeralang
"$1,000-$1,249",0,0,3,0,0,4,0,0,0,7,Jeeralang
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Jeeralang
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,6,Jeeralang
"$1,750-$1,999",0,0,0,0,0,4,0,0,0,4,Jeeralang
"$2,000-$2,999",0,0,0,0,0,3,0,0,0,3,Jeeralang
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Jeeralang
"$3,500 or more",0,0,0,0,0,0,0,0,0,3,Jeeralang
Personal income not stated,0,0,0,0,0,0,0,0,0,7,Jeeralang
Total,5,5,11,5,4,22,16,5,0,65,Jeeralang
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,The Heart
$1-$149,0,0,0,0,0,3,0,0,0,4,The Heart
$150-$299,0,0,0,0,0,0,0,0,0,0,The Heart
$300-$399,0,0,0,0,0,0,0,0,0,0,The Heart
$400-$499,0,0,0,0,0,0,0,0,0,0,The Heart
$500-$649,0,0,0,0,0,0,0,0,0,0,The Heart
$650-$799,0,0,0,0,0,0,0,0,0,3,The Heart
$800-$999 ,0,0,0,3,0,0,0,0,0,3,The Heart
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,The Heart
"$1,250-$1,499",0,0,0,0,0,0,4,0,0,4,The Heart
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,The Heart
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,The Heart
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,The Heart
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,The Heart
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,The Heart
Personal income not stated,0,0,0,0,5,0,0,0,0,5,The Heart
Total,0,0,0,4,3,5,4,0,0,24,The Heart
Negative/Nil income,5,0,0,0,0,0,0,0,0,5,Lah
$1-$149,3,0,0,0,0,0,0,0,0,3,Lah
$150-$299,0,0,0,0,0,0,0,0,0,0,Lah
$300-$399,0,0,0,0,0,0,0,0,0,0,Lah
$400-$499,0,0,0,0,0,0,0,0,0,0,Lah
$500-$649,0,0,0,0,0,0,0,0,0,0,Lah
$650-$799,0,0,0,0,0,0,0,0,0,3,Lah
$800-$999 ,0,0,0,0,4,0,0,0,0,4,Lah
"$1,000-$1,249",0,0,0,0,4,8,0,0,0,12,Lah
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Lah
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,4,Lah
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Lah
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Lah
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Lah
"$3,500 or more",0,0,0,6,0,0,0,0,0,6,Lah
Personal income not stated,0,0,0,0,5,0,5,0,0,9,Lah
Total,9,0,6,5,13,10,5,0,0,46,Lah
Negative/Nil income,34,9,11,12,9,12,15,6,0,97,South Kingsville
$1-$149,18,3,0,3,3,3,3,0,0,39,South Kingsville
$150-$299,10,9,7,10,3,6,15,3,0,70,South Kingsville
$300-$399,7,5,7,9,6,15,13,9,5,73,South Kingsville
$400-$499,4,8,13,3,10,17,23,17,5,93,South Kingsville
$500-$649,0,9,11,8,19,7,11,10,0,79,South Kingsville
$650-$799,5,11,22,10,13,29,10,4,0,104,South Kingsville
$800-$999 ,0,7,32,23,18,13,4,0,0,102,South Kingsville
"$1,000-$1,249",0,9,37,33,30,19,10,5,0,140,South Kingsville
"$1,250-$1,499",0,4,48,36,28,25,4,0,0,133,South Kingsville
"$1,500-$1,749",0,0,42,45,38,11,0,0,0,131,South Kingsville
"$1,750-$1,999",0,4,29,38,29,19,5,0,0,122,South Kingsville
"$2,000-$2,999",0,0,72,114,44,31,0,0,0,256,South Kingsville
"$3,000-$3,499",0,0,6,36,12,3,0,0,0,72,South Kingsville
"$3,500 or more",0,0,11,43,28,12,0,0,0,101,South Kingsville
Personal income not stated,0,4,17,23,12,10,11,8,0,87,South Kingsville
Total,80,93,371,456,305,229,113,55,14,1710,South Kingsville
Negative/Nil income,22,0,0,0,8,14,4,0,0,51,Inglewood (Vic.)
$1-$149,4,0,3,4,0,0,4,3,3,21,Inglewood (Vic.)
$150-$299,4,3,8,4,4,11,10,0,0,42,Inglewood (Vic.)
$300-$399,0,0,5,6,9,14,59,25,9,124,Inglewood (Vic.)
$400-$499,0,3,5,4,10,15,31,23,13,107,Inglewood (Vic.)
$500-$649,4,5,13,8,11,16,8,9,3,67,Inglewood (Vic.)
$650-$799,0,4,4,3,12,13,5,6,0,53,Inglewood (Vic.)
$800-$999 ,0,8,11,8,18,11,4,3,0,63,Inglewood (Vic.)
"$1,000-$1,249",0,7,4,12,13,6,6,0,0,50,Inglewood (Vic.)
"$1,250-$1,499",0,0,4,5,12,4,0,0,0,26,Inglewood (Vic.)
"$1,500-$1,749",0,0,3,6,3,6,0,0,0,23,Inglewood (Vic.)
"$1,750-$1,999",0,0,3,0,6,3,0,0,0,12,Inglewood (Vic.)
"$2,000-$2,999",0,0,0,0,3,0,0,0,0,6,Inglewood (Vic.)
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Inglewood (Vic.)
"$3,500 or more",0,0,0,0,0,0,3,0,0,5,Inglewood (Vic.)
Personal income not stated,3,0,7,6,15,14,19,19,44,125,Inglewood (Vic.)
Total,35,35,69,76,117,130,157,90,73,774,Inglewood (Vic.)
Negative/Nil income,6,0,3,0,0,7,3,0,0,21,Smiths Beach
$1-$149,5,0,0,4,0,6,0,0,0,5,Smiths Beach
$150-$299,0,4,0,5,0,5,6,0,0,18,Smiths Beach
$300-$399,0,0,0,0,3,6,4,0,0,22,Smiths Beach
$400-$499,0,0,0,0,0,3,16,5,0,33,Smiths Beach
$500-$649,0,0,0,0,3,5,5,7,0,32,Smiths Beach
$650-$799,0,0,6,4,5,3,0,3,0,15,Smiths Beach
$800-$999 ,0,0,3,5,0,8,3,0,0,15,Smiths Beach
"$1,000-$1,249",0,0,3,3,4,7,3,0,0,23,Smiths Beach
"$1,250-$1,499",0,0,5,3,6,10,3,0,0,26,Smiths Beach
"$1,500-$1,749",0,0,4,5,0,3,0,0,0,15,Smiths Beach
"$1,750-$1,999",0,0,0,5,0,4,0,0,0,9,Smiths Beach
"$2,000-$2,999",0,0,0,0,6,4,0,0,0,15,Smiths Beach
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Smiths Beach
"$3,500 or more",0,0,0,0,0,3,0,0,0,9,Smiths Beach
Personal income not stated,0,0,0,0,0,3,0,0,0,6,Smiths Beach
Total,16,8,31,34,37,79,45,23,7,266,Smiths Beach
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,St Helens Plains
$1-$149,0,0,0,0,0,0,0,0,0,3,St Helens Plains
$150-$299,0,0,0,0,0,0,0,0,0,0,St Helens Plains
$300-$399,0,0,0,0,0,0,0,0,0,0,St Helens Plains
$400-$499,0,0,0,0,0,0,0,0,0,4,St Helens Plains
$500-$649,0,0,0,0,0,0,0,0,0,4,St Helens Plains
$650-$799,0,0,0,0,0,0,0,0,0,0,St Helens Plains
$800-$999 ,0,0,0,0,0,0,0,3,0,5,St Helens Plains
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,9,St Helens Plains
"$1,250-$1,499",0,0,4,0,0,0,0,0,0,4,St Helens Plains
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,St Helens Plains
"$1,750-$1,999",0,0,0,0,6,3,0,0,0,6,St Helens Plains
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,St Helens Plains
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,St Helens Plains
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,St Helens Plains
Personal income not stated,0,0,0,0,0,0,0,0,0,3,St Helens Plains
Total,3,0,5,0,9,7,0,3,0,38,St Helens Plains
Negative/Nil income,12,0,5,0,0,11,7,0,0,38,Buxton (Vic.)
$1-$149,11,0,3,0,0,4,4,0,0,22,Buxton (Vic.)
$150-$299,3,0,0,0,0,6,8,0,5,18,Buxton (Vic.)
$300-$399,0,0,3,4,3,9,9,8,5,40,Buxton (Vic.)
$400-$499,0,0,0,4,3,11,18,13,0,46,Buxton (Vic.)
$500-$649,0,0,3,5,5,11,24,3,4,52,Buxton (Vic.)
$650-$799,0,0,3,4,8,0,9,0,0,36,Buxton (Vic.)
$800-$999 ,0,5,10,5,6,9,6,0,0,47,Buxton (Vic.)
"$1,000-$1,249",0,0,6,8,10,6,8,0,0,40,Buxton (Vic.)
